TypeOfDewelling,BldgType,AbvGrndLivArea,Neighborhood,KitchenQual,NumGarageCars,YearBuilt,YearRemodAdd,ExterQual,LotArea,LotShape,Fireplaces,NumBathroom,Basement1Type,Basement1SurfaceArea,Basement2Type,Basement2SurfaceArea,TotalBasementArea,GarageArea,1stFlrArea,2ndFlrArea,Utilities,OverallQual,SalePrice
2-STORY 1946 & NEWER,OneFam,2365,NoRidge,Good,3,1999,1999,Good,9430,Regular,1,2,GoodLivingQuarters,1163,Unfinshed,0,1252,856,1268,1097,AllUtilitiesAvl,8,337000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1494,Veenker,Excellent,2,1995,1996,Good,9549,SlightlyIrregular,1,1,LowQuality,437,GoodLivingQuarters,1057,1494,481,1494,0,AllUtilitiesAvl,8,270000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1506,Somerst,Excellent,2,2008,2008,Good,14587,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1498,592,1506,0,AllUtilitiesAvl,9,264132
2-STORY 1946 & NEWER,OneFam,1714,NWAmes,Average,2,1988,1988,Average,10421,Regular,1,2,GoodLivingQuarters,394,Unfinshed,0,980,496,980,734,AllUtilitiesAvl,7,196500
1-1/2 STORY FINISHED ALL AGES,OneFam,1750,Mitchel,Average,1,1940,1985,Average,12508,SlightlyIrregular,0,2,AverageLivingQuarters,660,Unfinshed,0,983,423,983,767,AllUtilitiesAvl,6,160000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1836,CollgCr,Good,2,2004,2005,Good,9100,Regular,1,2,GoodLivingQuarters,24,Unfinshed,0,1860,484,1836,0,AllUtilitiesAvl,7,216837
2-STORY 1946 & NEWER,OneFam,3279,StoneBr,Excellent,3,2003,2003,Excellent,53504,ModeratelyIrregular,1,3,AverageLivingQuarters,1416,Unfinshed,0,1650,841,1690,1589,AllUtilitiesAvl,8,538000
SPLIT FOYER,OneFam,858,Sawyer,Average,2,1982,1982,Average,7252,SlightlyIrregular,0,1,GoodLivingQuarters,685,Unfinshed,0,858,576,858,0,AllUtilitiesAvl,5,134900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1220,Edwards,Average,2,1951,1951,Average,8877,Regular,0,1,LowQuality,836,Unfinshed,0,836,396,1220,0,AllUtilitiesAvl,4,102000
SPLIT OR MULTI-LEVEL,OneFam,1117,Edwards,Average,2,1976,1976,Average,7819,Regular,1,1,AverageLivingQuarters,422,BelowAverageLivingQuarters,127,1029,672,1117,0,AllUtilitiesAvl,6,107000
1-STORY 1946 & NEWER ALL STYLES,OneFam,912,NAmes,Average,1,1958,1958,Average,10150,Regular,0,1,AverageRecRoom,456,Unfinshed,0,912,275,912,0,AllUtilitiesAvl,5,114500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1973,NridgHt,Good,3,2006,2006,Good,14226,Regular,1,2,Unfinshed,0,Unfinshed,0,1935,895,1973,0,AllUtilitiesAvl,8,395000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1204,Mitchel,Average,2,1998,1998,Average,4500,Regular,0,2,GoodLivingQuarters,866,Unfinshed,0,1204,412,1204,0,AllUtilitiesAvl,6,162000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1614,CollgCr,Good,3,2005,2006,Good,11210,SlightlyIrregular,0,2,GoodLivingQuarters,20,Unfinshed,0,1614,865,1614,0,AllUtilitiesAvl,7,221500
1-STORY 1946 & NEWER ALL STYLES,OneFam,894,Sawyer,Average,2,1974,1974,Average,13350,SlightlyIrregular,1,1,AverageLivingQuarters,762,Unfinshed,0,864,440,894,0,AllUtilitiesAvl,5,142500
DUPLEX - ALL STYLES AND AGES,Duplex,2020,SawyerW,Average,2,1977,1977,Average,8400,Regular,2,2,,0,,0,0,630,2020,0,AllUtilitiesAvl,5,144000
DUPLEX - ALL STYLES AND AGES,Duplex,1004,Mitchel,Average,2,1977,1977,Average,10530,Regular,0,1,GoodLivingQuarters,975,Unfinshed,0,975,504,1004,0,AllUtilitiesAvl,6,135000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1253,Gilbert,Average,2,1995,1996,Average,7875,Regular,1,2,Unfinshed,0,Unfinshed,0,1237,402,1253,0,AllUtilitiesAvl,7,176000
2-STORY 1946 & NEWER,OneFam,1603,SawyerW,Good,2,1992,1992,Good,7153,Regular,0,2,AverageLivingQuarters,387,Unfinshed,0,761,484,810,793,AllUtilitiesAvl,6,175900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1430,CollgCr,Good,2,2001,2002,Good,16285,ModeratelyIrregular,0,2,Unfinshed,0,Unfinshed,0,1413,605,1430,0,AllUtilitiesAvl,7,187100
SPLIT FOYER,OneFam,1110,Mitchel,Good,2,1978,1978,Average,9101,SlightlyIrregular,1,1,GoodLivingQuarters,1097,Unfinshed,0,1097,602,1110,0,AllUtilitiesAvl,5,165500
2-1/2 STORY ALL AGES,OneFam,1484,OldTown,Average,0,1914,2001,Average,6300,Regular,1,2,Unfinshed,0,Unfinshed,0,742,0,742,742,AllUtilitiesAvl,6,128000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1342,NWAmes,Average,2,1967,1967,Average,9790,Regular,1,2,AverageRecRoom,251,LowQuality,630,1372,457,1342,0,AllUtilitiesAvl,6,161500
1-1/2 STORY FINISHED ALL AGES,OneFam,1652,OldTown,Average,1,1915,1950,Average,10800,Regular,0,2,LowQuality,686,Unfinshed,0,686,416,966,686,AllUtilitiesAvl,5,139000
2-STORY 1946 & NEWER,OneFam,2084,SawyerW,Good,2,2004,2004,Good,10142,SlightlyIrregular,0,2,GoodLivingQuarters,656,Unfinshed,0,956,618,956,1128,AllUtilitiesAvl,7,233000
1-STORY 1946 & NEWER ALL STYLES,OneFam,901,OldTown,Average,1,1954,2000,Average,6000,Regular,0,1,Unfinshed,0,Unfinshed,0,901,281,901,0,AllUtilitiesAvl,4,107900
2-STORY 1946 & NEWER,OneFam,2087,ClearCr,Good,2,1966,2007,Average,12205,SlightlyIrregular,0,2,LowQuality,568,Unfinshed,0,832,444,976,1111,AllUtilitiesAvl,6,187500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1145,Blmngtn,Good,2,2005,2006,Good,3182,Regular,1,2,GoodLivingQuarters,16,Unfinshed,0,1145,397,1145,0,AllUtilitiesAvl,7,160200
SPLIT OR MULTI-LEVEL,OneFam,1062,Mitchel,Average,2,1976,1976,Average,11333,SlightlyIrregular,2,1,AverageLivingQuarters,539,Unfinshed,0,1029,539,1062,0,AllUtilitiesAvl,6,146800
2-STORY 1946 & NEWER,OneFam,2013,NoRidge,Average,2,1996,1997,Good,9920,SlightlyIrregular,1,2,GoodLivingQuarters,862,Unfinshed,0,1117,455,1127,886,AllUtilitiesAvl,7,269790
1-STORY 1946 & NEWER ALL STYLES,OneFam,1496,Somerst,Good,2,2007,2007,Good,9158,Regular,0,2,Unfinshed,0,Unfinshed,0,1496,474,1496,0,AllUtilitiesAvl,8,225000
2-STORY 1946 & NEWER,OneFam,1895,Gilbert,Good,2,1994,1996,Good,10832,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,712,409,1086,809,AllUtilitiesAvl,7,194500
2-STORY 1946 & NEWER,OneFam,1564,SawyerW,Average,2,1980,1981,Average,8400,Regular,1,2,Unfinshed,0,Unfinshed,0,650,476,888,676,AllUtilitiesAvl,6,171000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1285,Sawyer,Average,2,1977,1977,Average,8197,Regular,1,1,Unfinshed,0,Unfinshed,0,660,528,1285,0,AllUtilitiesAvl,6,143500
1-STORY 1946 & NEWER ALL STYLES,OneFam,773,NAmes,Average,1,1953,1953,Average,7677,Regular,0,1,BelowAverageLivingQuarters,570,Unfinshed,0,773,240,773,0,AllUtilitiesAvl,5,110000
2-STORY 1946 & NEWER,OneFam,3140,NridgHt,Excellent,3,2008,2009,Excellent,13518,Regular,2,3,Unfinshed,0,Unfinshed,0,1926,820,1966,1174,AllUtilitiesAvl,9,485000
1-1/2 STORY FINISHED ALL AGES,OneFam,1768,SWISU,Good,1,1937,1950,Average,7200,Regular,2,1,AverageLivingQuarters,569,Unfinshed,0,731,240,981,787,AllUtilitiesAvl,5,175000
2-STORY 1946 & NEWER,OneFam,1688,ClearCr,Good,2,1997,1997,Average,12798,SlightlyIrregular,0,2,GoodLivingQuarters,462,Unfinshed,0,616,603,616,1072,AllUtilitiesAvl,6,200000
1-STORY 1945 & OLDER,OneFam,1196,IDOTRR,Average,2,1916,1990,Average,4800,Regular,0,1,LowQuality,197,Unfinshed,0,1196,440,1196,0,AllUtilitiesAvl,4,109900
2-STORY 1946 & NEWER,OneFam,1456,CollgCr,Good,2,2005,2005,Good,8199,Regular,1,2,GoodLivingQuarters,648,Unfinshed,0,728,410,728,728,AllUtilitiesAvl,7,189000
2-STORY 1946 & NEWER,OneFam,2822,NridgHt,Excellent,3,2008,2009,Excellent,13891,Regular,1,3,Unfinshed,0,Unfinshed,0,1734,1020,1734,1088,AllUtilitiesAvl,9,582933
1-STORY 1946 & NEWER ALL STYLES,OneFam,1128,NAmes,Average,1,1954,1954,Average,9000,Regular,0,1,LowQuality,812,Unfinshed,0,936,286,1128,0,AllUtilitiesAvl,5,118000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1428,Somerst,Excellent,2,2008,2008,Good,12274,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,1417,554,1428,0,AllUtilitiesAvl,7,227680
SPLIT OR MULTI-LEVEL,OneFam,980,NAmes,Average,1,1967,1967,Average,9750,Regular,0,2,AverageLivingQuarters,400,AverageRecRoom,480,980,384,980,0,AllUtilitiesAvl,5,135500
2-STORY 1945 & OLDER,OneFam,1576,BrkSide,Good,2,1923,2004,Average,21384,Regular,1,1,GoodLivingQuarters,1309,Unfinshed,0,1324,528,1072,504,AllUtilitiesAvl,5,223500
SPLIT OR MULTI-LEVEL,OneFam,1086,NAmes,Average,2,1966,1966,Average,13400,Regular,1,1,AverageLivingQuarters,516,BelowAverageLivingQuarters,128,1024,484,1086,0,AllUtilitiesAvl,5,159950
2-1/2 STORY ALL AGES,OneFam,2138,OldTown,Average,2,1898,1965,Average,8100,Regular,0,2,Unfinshed,0,Unfinshed,0,849,360,1075,1063,AllUtilitiesAvl,5,106000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1309,NWAmes,Good,2,1974,1999,Average,10140,Regular,1,1,AverageLivingQuarters,663,LowQuality,377,1040,484,1309,0,AllUtilitiesAvl,6,181000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,848,CollgCr,Good,2,2004,2004,Good,4438,Regular,1,1,GoodLivingQuarters,662,Unfinshed,0,848,420,848,0,AllUtilitiesAvl,6,144500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1044,IDOTRR,Fair,2,1952,1952,Fair,8712,Regular,0,1,Unfinshed,0,Unfinshed,0,540,504,1044,0,AllUtilitiesAvl,5,55993
1-STORY 1946 & NEWER ALL STYLES,OneFam,1442,NAmes,Average,1,1958,1958,Average,9750,Regular,0,1,AverageRecRoom,608,Unfinshed,0,1442,301,1442,0,AllUtilitiesAvl,6,157900
1-1/2 STORY FINISHED ALL AGES,OneFam,1250,Edwards,Fair,1,1918,1950,Average,8248,Regular,0,1,Unfinshed,0,Unfinshed,0,686,280,686,564,AllUtilitiesAvl,5,116000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1661,CollgCr,Good,2,1998,1998,Average,12137,ModeratelyIrregular,0,2,Unfinshed,0,Unfinshed,0,1649,598,1661,0,AllUtilitiesAvl,7,224900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1008,NAmes,Average,1,1954,1954,Average,11425,SlightlyIrregular,1,1,BelowAverageLivingQuarters,486,Unfinshed,0,1008,275,1008,0,AllUtilitiesAvl,5,137000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1689,Mitchel,Good,3,2002,2002,Good,13265,SlightlyIrregular,2,2,GoodLivingQuarters,1218,Unfinshed,0,1568,857,1689,0,AllUtilitiesAvl,8,271000
SPLIT OR MULTI-LEVEL,OneFam,1052,ClearCr,Average,2,1971,1971,Average,8816,Regular,0,1,GoodLivingQuarters,504,Unfinshed,0,1010,440,1052,0,AllUtilitiesAvl,6,155000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1358,NridgHt,Good,2,2009,2010,Good,6371,SlightlyIrregular,1,2,GoodLivingQuarters,733,Unfinshed,0,1358,484,1358,0,AllUtilitiesAvl,7,224000
2-STORY 1946 & NEWER,OneFam,1640,CollgCr,Good,2,2003,2003,Good,7226,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,798,595,798,842,AllUtilitiesAvl,7,183000
1-STORY 1946 & NEWER ALL STYLES,2fmCon,936,OldTown,Average,2,1953,1953,Fair,6000,Regular,0,1,Unfinshed,0,Unfinshed,0,936,576,936,0,AllUtilitiesAvl,4,93000
2-STORY 1946 & NEWER,OneFam,1733,Gilbert,Good,2,2003,2003,Good,12394,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,847,433,847,886,AllUtilitiesAvl,7,225000
1-1/2 STORY FINISHED ALL AGES,OneFam,1489,SWISU,Average,1,1940,1950,Average,9900,Regular,1,2,Unfinshed,0,Unfinshed,0,778,240,944,545,AllUtilitiesAvl,6,139500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1489,Somerst,Good,2,2006,2006,Good,11216,Regular,1,2,Unfinshed,0,Unfinshed,0,1489,776,1489,0,AllUtilitiesAvl,8,232600
1-STORY 1946 & NEWER ALL STYLES,OneFam,2084,NridgHt,Excellent,3,2007,2008,Excellent,14803,Regular,1,2,GoodLivingQuarters,1636,Unfinshed,0,2078,1220,2084,0,AllUtilitiesAvl,10,385000
1-1/2 STORY - UNFINISHED ALL AGES,OneFam,784,BrkSide,Good,0,1924,1950,Average,6130,Regular,0,1,AverageLivingQuarters,784,Unfinshed,0,784,0,784,0,AllUtilitiesAvl,5,109500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1434,SawyerW,Good,2,2001,2001,Good,8529,SlightlyIrregular,1,2,GoodLivingQuarters,20,Unfinshed,0,1454,527,1434,0,AllUtilitiesAvl,7,189000
2-STORY 1946 & NEWER,OneFam,2126,ClearCr,Average,2,1967,1967,Average,28698,ModeratelyIrregular,0,2,LowQuality,249,AverageLivingQuarters,764,1013,538,1160,966,AllUtilitiesAvl,5,185000
2-STORY PUD - 1946 & NEWER,Twnhs,1223,Somerst,Good,2,2005,2005,Good,2544,Regular,0,2,Unfinshed,0,Unfinshed,0,600,480,520,623,AllUtilitiesAvl,7,147400
1-STORY 1946 & NEWER ALL STYLES,OneFam,1392,NAmes,Average,2,1957,1957,Average,11900,SlightlyIrregular,2,1,AverageRecRoom,1040,Unfinshed,0,1392,458,1392,0,AllUtilitiesAvl,6,166000
2-STORY PUD - 1946 & NEWER,TownhouseEndUnit,1200,Somerst,Good,2,2005,2005,Average,3180,Regular,0,2,Unfinshed,0,Unfinshed,0,600,480,520,600,AllUtilitiesAvl,7,151000
2-STORY 1946 & NEWER,OneFam,1829,CollgCr,Good,2,2003,2003,Good,9548,SlightlyIrregular,1,2,GoodLivingQuarters,483,Unfinshed,0,941,613,941,888,AllUtilitiesAvl,7,237000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1516,NAmes,Average,2,1964,1964,Average,10004,Regular,0,1,AverageRecRoom,196,BelowAverageLivingQuarters,345,1516,472,1516,0,AllUtilitiesAvl,6,167000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1144,NAmes,Average,2,1961,1961,Average,7875,Regular,0,1,AverageRecRoom,572,Unfinshed,0,1144,456,1144,0,AllUtilitiesAvl,5,139950
1-STORY 1946 & NEWER ALL STYLES,OneFam,1067,Sawyer,Good,2,1950,1995,Average,9600,Regular,0,2,BelowAverageLivingQuarters,442,Unfinshed,0,1067,436,1067,0,AllUtilitiesAvl,4,128000
1-STORY 1945 & OLDER,OneFam,1559,OldTown,Average,2,1948,1973,Average,8100,Regular,0,1,AverageRecRoom,338,Unfinshed,0,1559,812,1559,0,AllUtilitiesAvl,5,153500
2-STORY PUD - 1946 & NEWER,Twnhs,987,BrDale,Average,1,1973,1973,Average,1680,Regular,0,1,BelowAverageLivingQuarters,330,Unfinshed,0,483,264,483,504,AllUtilitiesAvl,6,100000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1099,CollgCr,Good,1,1995,2006,Average,9525,Regular,0,1,Unfinshed,0,Unfinshed,0,1099,352,1099,0,AllUtilitiesAvl,5,144000
1-1/2 STORY FINISHED ALL AGES,OneFam,1200,Edwards,Average,1,1946,1995,Average,11767,Regular,0,1,BelowAverageLivingQuarters,352,Unfinshed,0,768,240,768,432,AllUtilitiesAvl,5,130500
2-STORY 1945 & OLDER,OneFam,1482,SWISU,Fair,1,1925,1950,Average,12155,SlightlyIrregular,0,2,BelowAverageLivingQuarters,156,Unfinshed,0,672,400,810,672,AllUtilitiesAvl,6,140000
2-STORY 1945 & OLDER,OneFam,1539,OldTown,Good,2,1904,2002,Average,10440,Regular,1,2,Unfinshed,0,Unfinshed,0,650,686,958,581,AllUtilitiesAvl,5,157500
SPLIT OR MULTI-LEVEL,OneFam,1165,NAmes,Average,2,1966,1966,Average,9020,Regular,0,1,AverageRecRoom,312,AverageLivingQuarters,539,1127,490,1165,0,AllUtilitiesAvl,6,174900
DUPLEX - ALL STYLES AND AGES,Duplex,1800,NAmes,Average,0,1961,1961,Average,8000,Regular,0,2,Unfinshed,0,Unfinshed,0,1800,0,1800,0,AllUtilitiesAvl,5,141000
1-1/2 STORY FINISHED ALL AGES,OneFam,1416,OldTown,Average,3,1915,1950,Average,12665,SlightlyIrregular,1,1,Unfinshed,0,Unfinshed,0,876,720,876,540,AllUtilitiesAvl,5,153900
SPLIT FOYER,OneFam,1701,Sawyer,Average,2,1975,1981,Average,16647,SlightlyIrregular,2,2,AverageLivingQuarters,1390,Unfinshed,0,1390,611,1701,0,AllUtilitiesAvl,5,171000
2-STORY 1946 & NEWER,OneFam,1775,SawyerW,Good,2,1993,1993,Good,9317,Regular,1,2,AverageLivingQuarters,513,Unfinshed,0,740,425,1006,769,AllUtilitiesAvl,7,213000
1-STORY 1946 & NEWER ALL STYLES,OneFam,864,CollgCr,Average,1,1972,1972,Average,15523,SlightlyIrregular,1,1,BelowAverageLivingQuarters,460,Unfinshed,0,864,338,864,0,AllUtilitiesAvl,5,133500
1-1/2 STORY FINISHED ALL AGES,OneFam,2358,ClearCr,Average,2,1908,1997,Average,45600,ModeratelyIrregular,1,3,Unfinshed,0,Unfinshed,0,907,360,1307,1051,AllUtilitiesAvl,6,240000
SPLIT OR MULTI-LEVEL,OneFam,1855,Veenker,Average,2,1976,1994,Good,9600,Regular,1,2,Unfinshed,0,Unfinshed,0,528,512,1094,761,AllUtilitiesAvl,6,187000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,848,CollgCr,Good,2,2003,2003,Good,4435,Regular,0,1,GoodLivingQuarters,659,Unfinshed,0,848,420,848,0,AllUtilitiesAvl,6,131500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1456,Blmngtn,Good,2,2003,2003,Good,3196,Regular,1,2,Unfinshed,0,Unfinshed,0,1273,400,1456,0,AllUtilitiesAvl,8,215000
2-1/2 STORY ALL AGES,OneFam,1646,Crawfor,Average,1,1941,1950,Average,7128,Regular,2,2,AverageRecRoom,364,Unfinshed,0,918,240,918,728,AllUtilitiesAvl,7,164000
SPLIT OR MULTI-LEVEL,OneFam,1445,NAmes,Average,2,1964,1964,Average,12095,SlightlyIrregular,1,1,AverageRecRoom,564,Unfinshed,0,1127,645,1445,0,AllUtilitiesAvl,6,158000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1779,Sawyer,Average,2,1955,1974,Average,17920,Regular,1,1,AverageLivingQuarters,306,AverageRecRoom,1085,1763,454,1779,0,AllUtilitiesAvl,5,170000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1040,Sawyer,Average,1,1962,2010,Average,6897,SlightlyIrregular,0,1,AverageLivingQuarters,659,Unfinshed,0,1040,260,1040,0,AllUtilitiesAvl,5,127000
SPLIT OR MULTI-LEVEL,OneFam,1026,CollgCr,Average,2,1978,1978,Average,10970,SlightlyIrregular,0,1,GoodLivingQuarters,505,LowQuality,435,940,576,1026,0,AllUtilitiesAvl,6,147000
2-STORY 1946 & NEWER,OneFam,1481,Gilbert,Average,2,1994,1995,Average,8125,Regular,1,2,Unfinshed,0,Unfinshed,0,702,343,702,779,AllUtilitiesAvl,6,174000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1370,NWAmes,Average,2,1976,1976,Average,10400,Regular,1,2,Unfinshed,0,Unfinshed,0,1090,479,1370,0,AllUtilitiesAvl,7,152000
2-STORY 1946 & NEWER,OneFam,2654,NWAmes,Good,2,1968,1984,Average,11029,SlightlyIrregular,1,2,BelowAverageLivingQuarters,619,Unfinshed,0,1054,619,1512,1142,AllUtilitiesAvl,6,250000
1-1/2 STORY FINISHED ALL AGES,OneFam,1426,Crawfor,Good,1,1918,1998,Good,7642,Regular,1,1,Unfinshed,0,Unfinshed,0,912,216,912,514,AllUtilitiesAvl,7,189950
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,1039,Sawyer,Average,2,1965,1965,Average,11625,Regular,0,1,BelowAverageLivingQuarters,841,Unfinshed,0,1039,504,1039,0,AllUtilitiesAvl,5,131500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1097,SawyerW,Average,2,1984,1985,Average,9672,Regular,0,2,GoodLivingQuarters,338,Unfinshed,0,1040,480,1097,0,AllUtilitiesAvl,6,152000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1148,NAmes,Average,1,1959,1959,Average,7931,Regular,0,1,BelowAverageLivingQuarters,1148,Unfinshed,0,1148,672,1148,0,AllUtilitiesAvl,5,132500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1372,Somerst,Good,2,2007,2008,Good,8640,Regular,0,2,Unfinshed,0,Unfinshed,0,1372,529,1372,0,AllUtilitiesAvl,7,250580
1-STORY 1946 & NEWER ALL STYLES,OneFam,1002,NAmes,Average,2,1970,1970,Average,8750,SlightlyIrregular,0,1,BelowAverageLivingQuarters,828,Unfinshed,0,1002,902,1002,0,AllUtilitiesAvl,5,148500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1646,Timber,Good,3,2006,2007,Good,10656,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1638,870,1646,0,AllUtilitiesAvl,8,248900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1120,Sawyer,Fair,2,1961,1961,Average,6970,Regular,0,1,AverageLivingQuarters,932,Unfinshed,0,1040,544,1120,0,AllUtilitiesAvl,4,129000
2-STORY 1946 & NEWER,OneFam,2320,Gilbert,Average,2,1948,1950,Average,14762,ModeratelyIrregular,1,2,,0,,0,0,672,1547,720,AllUtilitiesAvl,5,169000
2-STORY 1946 & NEWER,OneFam,1949,SawyerW,Good,2,1993,1994,Good,9938,Regular,1,2,GoodLivingQuarters,750,Unfinshed,0,1050,574,1062,887,AllUtilitiesAvl,7,236000
1-STORY 1946 & NEWER ALL STYLES,OneFam,894,NAmes,Average,1,1962,1962,Average,6600,Regular,0,1,Unfinshed,0,Unfinshed,0,894,308,894,0,AllUtilitiesAvl,5,109500
2-STORY 1946 & NEWER,OneFam,1682,CollgCr,Good,2,1998,1998,Average,8750,Regular,0,2,GoodLivingQuarters,505,Unfinshed,0,804,523,804,878,AllUtilitiesAvl,6,200500
1-STORY 1946 & NEWER ALL STYLES,OneFam,910,NAmes,Good,2,1953,1996,Good,8892,Regular,0,1,Unfinshed,0,Unfinshed,0,105,414,910,0,AllUtilitiesAvl,5,116000
1-STORY W/FINISHED ATTIC ALL AGES,OneFam,1268,NAmes,Average,1,1949,1950,Good,12144,Regular,1,1,AverageRecRoom,375,Unfinshed,0,832,288,1036,0,AllUtilitiesAvl,5,133000
1-1/2 STORY FINISHED ALL AGES,OneFam,1131,OldTown,Average,1,1941,1950,Average,5720,Regular,0,1,Unfinshed,0,Unfinshed,0,676,200,676,455,AllUtilitiesAvl,5,66500
2-STORY 1946 & NEWER,OneFam,2610,Somerst,Excellent,2,2007,2007,Good,9000,Regular,1,2,GoodLivingQuarters,64,Unfinshed,0,1184,550,1184,1426,AllUtilitiesAvl,8,303477
1-STORY 1946 & NEWER ALL STYLES,OneFam,1040,Mitchel,Average,2,1963,1963,Average,25286,Regular,0,1,AverageLivingQuarters,633,Unfinshed,0,1064,648,1040,0,AllUtilitiesAvl,4,132250
2-STORY 1946 & NEWER,OneFam,2224,NridgHt,Excellent,3,2004,2005,Good,8834,Regular,1,2,GoodLivingQuarters,1170,Unfinshed,0,1462,738,1462,762,AllUtilitiesAvl,9,350000
SPLIT FOYER,OneFam,1155,Sawyer,Good,2,1961,1995,Average,11782,SlightlyIrregular,0,1,AverageLivingQuarters,899,Unfinshed,0,1109,576,1155,0,AllUtilitiesAvl,5,148000
1-STORY 1946 & NEWER ALL STYLES,OneFam,864,CollgCr,Average,1,1978,2005,Good,7000,SlightlyIrregular,0,1,AverageLivingQuarters,646,Unfinshed,0,864,336,864,0,AllUtilitiesAvl,5,136500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1090,Edwards,Average,2,2005,2006,Average,7024,Regular,0,1,AverageLivingQuarters,980,Unfinshed,0,1090,450,1090,0,AllUtilitiesAvl,5,157000
1-1/2 STORY FINISHED ALL AGES,OneFam,1717,Timber,Good,2,1990,1991,Good,13758,SlightlyIrregular,1,2,LowQuality,902,Unfinshed,0,1156,400,1187,530,AllUtilitiesAvl,7,187500
2-STORY 1946 & NEWER,OneFam,1593,Gilbert,Average,2,1992,1993,Average,9636,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,808,389,808,785,AllUtilitiesAvl,6,178000
2-1/2 STORY ALL AGES,OneFam,2230,SWISU,Average,1,1912,1950,Good,6204,Regular,0,1,Unfinshed,0,Unfinshed,0,795,440,954,795,AllUtilitiesAvl,4,118500
1-STORY 1946 & NEWER ALL STYLES,OneFam,892,NAmes,Average,1,1967,1967,Average,7150,Regular,0,1,BelowAverageLivingQuarters,432,Unfinshed,0,892,288,892,0,AllUtilitiesAvl,5,100000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1709,Somerst,Good,2,1999,2000,Good,5119,SlightlyIrregular,1,2,GoodLivingQuarters,1238,Unfinshed,0,1698,506,1709,0,AllUtilitiesAvl,9,328900
DUPLEX - ALL STYLES AND AGES,Duplex,1712,NAmes,Average,2,1959,2005,Average,8393,Regular,0,2,LowQuality,528,Unfinshed,0,1626,588,1712,0,AllUtilitiesAvl,5,145000
1-1/2 STORY FINISHED ALL AGES,OneFam,1393,Edwards,Average,1,1955,1955,Average,16466,SlightlyIrregular,0,1,Unfinshed,0,Unfinshed,0,816,300,872,521,AllUtilitiesAvl,5,135500
1-STORY 1946 & NEWER ALL STYLES,OneFam,2217,NAmes,Good,2,1970,1970,Good,15865,SlightlyIrregular,1,2,AverageLivingQuarters,351,AverageRecRoom,823,2217,621,2217,0,AllUtilitiesAvl,8,268000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1505,NAmes,Average,2,1953,1953,Average,12160,Regular,1,1,BelowAverageLivingQuarters,1024,Unfinshed,0,1505,505,1505,0,AllUtilitiesAvl,6,149500
1-1/2 STORY FINISHED ALL AGES,OneFam,924,NAmes,Average,2,1949,2006,Average,8064,Regular,1,1,Unfinshed,0,Unfinshed,0,672,576,672,252,AllUtilitiesAvl,5,122900
